word,phishing_count,normal_count,total_count,phishing_ratio,normal_ratio,log_odds_score,final_weight,support
zooz,7,0,7,1.0000,0.0000,2.7081,2.7081,7
contactez,7,0,7,1.0000,0.0000,2.7081,2.7081,7
interests,7,0,7,1.0000,0.0000,2.7081,2.7081,7
latina,7,0,7,1.0000,0.0000,2.7081,2.7081,7
qfsearn,7,0,7,1.0000,0.0000,2.7081,2.7081,7
informaton,7,0,7,1.0000,0.0000,2.7081,2.7081,7
identifiable,7,0,7,1.0000,0.0000,2.7081,2.7081,7
uniquely,7,0,7,1.0000,0.0000,2.7081,2.7081,7
adverts,7,0,7,1.0000,0.0000,2.7081,2.7081,7
visitors,7,0,7,1.0000,0.0000,2.7081,2.7081,7
volver,7,0,7,1.0000,0.0000,2.7081,2.7081,7
filling,7,0,7,1.0000,0.0000,2.7081,2.7081,7
actions,7,0,7,1.0000,0.0000,2.7081,2.7081,7
decimos,7,0,7,1.0000,0.0000,2.7081,2.7081,7
disagree,7,0,7,1.0000,0.0000,2.7081,2.7081,7
derivatives,7,0,7,1.0000,0.0000,2.7081,2.7081,7
exist,7,0,7,1.0000,0.0000,2.7081,2.7081,7
cupons,7,0,7,1.0000,0.0000,2.7081,2.7081,7
expired,7,0,7,1.0000,0.0000,2.7081,2.7081,7
verificacion,7,0,7,1.0000,0.0000,2.7081,2.7081,7
anonymous,7,0,7,1.0000,0.0000,2.7081,2.7081,7
aggregated,7,0,7,1.0000,0.0000,2.7081,2.7081,7
personalisation,7,0,7,1.0000,0.0000,2.7081,2.7081,7
monohidratada,7,0,7,1.0000,0.0000,2.7081,2.7081,7
personally,7,0,7,1.0000,0.0000,2.7081,2.7081,7
instante,7,0,7,1.0000,0.0000,2.7081,2.7081,7
aprobamos,7,0,7,1.0000,0.0000,2.7081,2.7081,7
switched,7,0,7,1.0000,0.0000,2.7081,2.7081,7
friendzone,7,0,7,1.0000,0.0000,2.7081,2.7081,7
verde,6,1,7,0.8571,0.1429,1.4663,1.4663,7
institutional,6,1,7,0.8571,0.1429,1.4663,1.4663,7
conocemos,6,1,7,0.8571,0.1429,1.4663,1.4663,7
estimate,6,1,7,0.8571,0.1429,1.4663,1.4663,7
workers,6,1,7,0.8571,0.1429,1.4663,1.4663,7
plug,6,1,7,0.8571,0.1429,1.4663,1.4663,7
menos,6,1,7,0.8571,0.1429,1.4663,1.4663,7
tinyurl,6,0,6,1.0000,0.0000,2.5649,2.5649,6
analizamos,6,0,6,1.0000,0.0000,2.5649,2.5649,6
creditos,6,0,6,1.0000,0.0000,2.5649,2.5649,6
logowanie,6,0,6,1.0000,0.0000,2.5649,2.5649,6
encuentran,6,0,6,1.0000,0.0000,2.5649,2.5649,6
avantages,6,0,6,1.0000,0.0000,2.5649,2.5649,6
recargues,6,0,6,1.0000,0.0000,2.5649,2.5649,6
manejas,6,0,6,1.0000,0.0000,2.5649,2.5649,6
incorrectly,6,0,6,1.0000,0.0000,2.5649,2.5649,6
passwort,6,0,6,1.0000,0.0000,2.5649,2.5649,6
protegidos,6,0,6,1.0000,0.0000,2.5649,2.5649,6
perfil,6,0,6,1.0000,0.0000,2.5649,2.5649,6
avez,6,0,6,1.0000,0.0000,2.5649,2.5649,6
distant,6,0,6,1.0000,0.0000,2.5649,2.5649,6
ina,6,0,6,1.0000,0.0000,2.5649,2.5649,6
userpay,6,0,6,1.0000,0.0000,2.5649,2.5649,6
krok,6,0,6,1.0000,0.0000,2.5649,2.5649,6
mejores,6,0,6,1.0000,0.0000,2.5649,2.5649,6
antivirus,6,0,6,1.0000,0.0000,2.5649,2.5649,6
mise,6,0,6,1.0000,0.0000,2.5649,2.5649,6
terminos,6,0,6,1.0000,0.0000,2.5649,2.5649,6
crediticias,6,0,6,1.0000,0.0000,2.5649,2.5649,6
pagues,6,0,6,1.0000,0.0000,2.5649,2.5649,6
souhaitez,6,0,6,1.0000,0.0000,2.5649,2.5649,6
certificado,6,0,6,1.0000,0.0000,2.5649,2.5649,6
encriptado,6,0,6,1.0000,0.0000,2.5649,2.5649,6
dalej,6,0,6,1.0000,0.0000,2.5649,2.5649,6
annuler,6,0,6,1.0000,0.0000,2.5649,2.5649,6
ses,6,0,6,1.0000,0.0000,2.5649,2.5649,6
olvidaste,6,0,6,1.0000,0.0000,2.5649,2.5649,6
myrogers,6,0,6,1.0000,0.0000,2.5649,2.5649,6
dsl,6,0,6,1.0000,0.0000,2.5649,2.5649,6
ponteiro,6,0,6,1.0000,0.0000,2.5649,2.5649,6
failed,6,0,6,1.0000,0.0000,2.5649,2.5649,6
dula,6,0,6,1.0000,0.0000,2.5649,2.5649,6
wpisz,6,0,6,1.0000,0.0000,2.5649,2.5649,6
binance,6,0,6,1.0000,0.0000,2.5649,2.5649,6
pomoc,5,1,6,0.8333,0.1667,1.2993,1.2993,6
checkout,5,1,6,0.8333,0.1667,1.2993,1.2993,6
blocking,5,1,6,0.8333,0.1667,1.2993,1.2993,6
unions,5,1,6,0.8333,0.1667,1.2993,1.2993,6
maintenance,5,1,6,0.8333,0.1667,1.2993,1.2993,6
property,5,1,6,0.8333,0.1667,1.2993,1.2993,6
alex,5,1,6,0.8333,0.1667,1.2993,1.2993,6
atendimento,5,1,6,0.8333,0.1667,1.2993,1.2993,6
mulheres,5,1,6,0.8333,0.1667,1.2993,1.2993,6
quiero,5,1,6,0.8333,0.1667,1.2993,1.2993,6
fundamental,5,1,6,0.8333,0.1667,1.2993,1.2993,6
ciebie,5,1,6,0.8333,0.1667,1.2993,1.2993,6
straightforward,5,1,6,0.8333,0.1667,1.2993,1.2993,6
pontos,5,1,6,0.8333,0.1667,1.2993,1.2993,6
desfrute,5,1,6,0.8333,0.1667,1.2993,1.2993,6
aktualne,5,1,6,0.8333,0.1667,1.2993,1.2993,6
internetowej,5,1,6,0.8333,0.1667,1.2993,1.2993,6
identify,5,1,6,0.8333,0.1667,1.2993,1.2993,6
utilizar,5,1,6,0.8333,0.1667,1.2993,1.2993,6
colo,5,1,6,0.8333,0.1667,1.2993,1.2993,6
climate,5,1,6,0.8333,0.1667,1.2993,1.2993,6
prioritizing,5,1,6,0.8333,0.1667,1.2993,1.2993,6
verification,5,1,6,0.8333,0.1667,1.2993,1.2993,6
cashback,5,0,5,1.0000,0.0000,2.3979,2.3979,5
zawsze,5,0,5,1.0000,0.0000,2.3979,2.3979,5
mobilnej,5,0,5,1.0000,0.0000,2.3979,2.3979,5
eleve,5,0,5,1.0000,0.0000,2.3979,2.3979,5
affiliates,5,0,5,1.0000,0.0000,2.3979,2.3979,5
preference,5,0,5,1.0000,0.0000,2.3979,2.3979,5
worship,5,0,5,1.0000,0.0000,2.3979,2.3979,5
branching,5,0,5,1.0000,0.0000,2.3979,2.3979,5
czytaj,5,0,5,1.0000,0.0000,2.3979,2.3979,5
swojego,5,0,5,1.0000,0.0000,2.3979,2.3979,5
eligibility,5,0,5,1.0000,0.0000,2.3979,2.3979,5
quarterly,5,0,5,1.0000,0.0000,2.3979,2.3979,5
podawaj,5,0,5,1.0000,0.0000,2.3979,2.3979,5
focava,5,0,5,1.0000,0.0000,2.3979,2.3979,5
pinto,5,0,5,1.0000,0.0000,2.3979,2.3979,5
tratamento,5,0,5,1.0000,0.0000,2.3979,2.3979,5
norte,5,0,5,1.0000,0.0000,2.3979,2.3979,5
closing,5,0,5,1.0000,0.0000,2.3979,2.3979,5
trocar,5,0,5,1.0000,0.0000,2.3979,2.3979,5
reduced,5,0,5,1.0000,0.0000,2.3979,2.3979,5
retrieve,5,0,5,1.0000,0.0000,2.3979,2.3979,5
ballalai,5,0,5,1.0000,0.0000,2.3979,2.3979,5
expiry,5,0,5,1.0000,0.0000,2.3979,2.3979,5
alcance,5,0,5,1.0000,0.0000,2.3979,2.3979,5
zip,5,0,5,1.0000,0.0000,2.3979,2.3979,5
economia,5,0,5,1.0000,0.0000,2.3979,2.3979,5
crees,5,0,5,1.0000,0.0000,2.3979,2.3979,5
humanos,5,0,5,1.0000,0.0000,2.3979,2.3979,5
cooperative,5,0,5,1.0000,0.0000,2.3979,2.3979,5
criado,5,0,5,1.0000,0.0000,2.3979,2.3979,5
loginu,5,0,5,1.0000,0.0000,2.3979,2.3979,5
logowaniu,5,0,5,1.0000,0.0000,2.3979,2.3979,5
titulaire,5,0,5,1.0000,0.0000,2.3979,2.3979,5
acesso,5,0,5,1.0000,0.0000,2.3979,2.3979,5
lucilla,5,0,5,1.0000,0.0000,2.3979,2.3979,5
telefonia,5,0,5,1.0000,0.0000,2.3979,2.3979,5
dapps,5,0,5,1.0000,0.0000,2.3979,2.3979,5
novembro,5,0,5,1.0000,0.0000,2.3979,2.3979,5
verifying,5,0,5,1.0000,0.0000,2.3979,2.3979,5
eres,5,0,5,1.0000,0.0000,2.3979,2.3979,5
fundado,5,0,5,1.0000,0.0000,2.3979,2.3979,5
zatwierdzasz,5,0,5,1.0000,0.0000,2.3979,2.3979,5
klikniesz,5,0,5,1.0000,0.0000,2.3979,2.3979,5
zanim,5,0,5,1.0000,0.0000,2.3979,2.3979,5
sprawdzisz,5,0,5,1.0000,0.0000,2.3979,2.3979,5
originalmente,5,0,5,1.0000,0.0000,2.3979,2.3979,5
nikomu,5,0,5,1.0000,0.0000,2.3979,2.3979,5
komunikaty,5,0,5,1.0000,0.0000,2.3979,2.3979,5
blu,5,0,5,1.0000,0.0000,2.3979,2.3979,5
borrada,5,0,5,1.0000,0.0000,2.3979,2.3979,5
cyberoszustwach,5,0,5,1.0000,0.0000,2.3979,2.3979,5
fenoux,5,0,5,1.0000,0.0000,2.3979,2.3979,5
nosotros,5,0,5,1.0000,0.0000,2.3979,2.3979,5
metropolitan,5,0,5,1.0000,0.0000,2.3979,2.3979,5
advisors,5,0,5,1.0000,0.0000,2.3979,2.3979,5
consultas,5,0,5,1.0000,0.0000,2.3979,2.3979,5
buscou,5,0,5,1.0000,0.0000,2.3979,2.3979,5
pesquisas,5,0,5,1.0000,0.0000,2.3979,2.3979,5
beneficiada,5,0,5,1.0000,0.0000,2.3979,2.3979,5
enriquece,5,0,5,1.0000,0.0000,2.3979,2.3979,5
melhorar,5,0,5,1.0000,0.0000,2.3979,2.3979,5
smskodem,5,0,5,1.0000,0.0000,2.3979,2.3979,5
aprimorar,5,0,5,1.0000,0.0000,2.3979,2.3979,5
chamado,5,0,5,1.0000,0.0000,2.3979,2.3979,5
headings,5,0,5,1.0000,0.0000,2.3979,2.3979,5
paranaense,5,0,5,1.0000,0.0000,2.3979,2.3979,5
metamask,5,0,5,1.0000,0.0000,2.3979,2.3979,5
benutzername,5,0,5,1.0000,0.0000,2.3979,2.3979,5
receber,5,0,5,1.0000,0.0000,2.3979,2.3979,5
contacta,5,0,5,1.0000,0.0000,2.3979,2.3979,5
acumule,5,0,5,1.0000,0.0000,2.3979,2.3979,5
inicialmente,5,0,5,1.0000,0.0000,2.3979,2.3979,5
dapp,5,0,5,1.0000,0.0000,2.3979,2.3979,5
proceeding,4,1,5,0.8000,0.2000,1.0986,1.0986,5
validating,4,1,5,0.8000,0.2000,1.0986,1.0986,5
officers,4,1,5,0.8000,0.2000,1.0986,1.0986,5
safeguards,4,1,5,0.8000,0.2000,1.0986,1.0986,5
cybersecurity,4,1,5,0.8000,0.2000,1.0986,1.0986,5
estamos,4,1,5,0.8000,0.2000,1.0986,1.0986,5
restore,4,1,5,0.8000,0.2000,1.0986,1.0986,5
index,4,1,5,0.8000,0.2000,1.0986,1.0986,5
rely,4,1,5,0.8000,0.2000,1.0986,1.0986,5
fraudulent,4,1,5,0.8000,0.2000,1.0986,1.0986,5
resilient,4,1,5,0.8000,0.2000,1.0986,1.0986,5
clave,4,1,5,0.8000,0.2000,1.0986,1.0986,5
holistic,4,1,5,0.8000,0.2000,1.0986,1.0986,5
covered,4,1,5,0.8000,0.2000,1.0986,1.0986,5
mata,4,1,5,0.8000,0.2000,1.0986,1.0986,5
usb,4,1,5,0.8000,0.2000,1.0986,1.0986,5
fingertips,4,1,5,0.8000,0.2000,1.0986,1.0986,5
